lsoa,os,left,right,top,bottom
E01000282,E00001353,-0.188194643,-0.175946568,51.63861032,51.62374867
E01000283,E00001381,-0.194833489,-0.183280893,51.62936719,51.62021282
E01000284,E00001350,-0.184558693,-0.170982133,51.62775131,51.61934736
E01000285,E00001404,-0.213684476,-0.205634598,51.65005716,51.6421399
E01000286,E00001435,-0.223580919,-0.212598247,51.6512713,51.64518001
E01000287,E00001406,-0.219938372,-0.209118727,51.64743492,51.64080615
E01000288,E00001397,-0.19695818,-0.184081875,51.64996006,51.63939908
E01000289,E00001398,-0.201544296,-0.190232521,51.64703679,51.64132845
E01000290,E00001400,-0.26842806,-0.212411909,51.64932326,51.63653467
E01000291,E00001399,-0.210440326,-0.197467386,51.64592551,51.64105818
E01000292,E00001405,-0.207027245,-0.199831777,51.65302034,51.64490105
E01000293,E00001424,-0.202798497,-0.193962585,51.65298735,51.64614579
E01000294,E00001396,-0.216274629,-0.205889624,51.65300627,51.6449782
E01000295,E00001456,-0.192715089,-0.184189187,51.60421311,51.59836549
E01000296,E00001449,-0.200125579,-0.187829512,51.6086818,51.60099818
E01000297,E00001462,-0.188065862,-0.177095383,51.60160322,51.59621124
E01000298,E00001451,-0.192367967,-0.180269859,51.60788112,51.60012344
E01000299,E00001447,-0.181631084,-0.175503101,51.61670698,51.61025688
E01000300,E00001467,-0.188512152,-0.178684861,51.61670158,51.61181098
E01000301,E00001446,-0.193906862,-0.183104335,51.61621388,51.60619217
E01000302,E00001477,-0.187680803,-0.177190667,51.61371334,51.60646525
E01000303,E00001481,-0.197655268,-0.188726143,51.61120829,51.60455505
E01000304,E00001448,-0.202112864,-0.194113475,51.60925717,51.60385302
E01000305,E00001510,-0.253131848,-0.230641595,51.57819139,51.5684204
E01000306,E00001499,-0.238951925,-0.232229475,51.58090535,51.57562345
E01000307,E00001496,-0.235223238,-0.218109088,51.57871957,51.57136534
E01000308,E00001503,-0.254632783,-0.23954265,51.58289875,51.57314067
E01000309,E00001494,-0.239418172,-0.230040099,51.5881073,51.58030612
E01000310,E00001501,-0.232132781,-0.216704627,51.58467066,51.57645337
E01000311,E00001505,-0.225672984,-0.212060852,51.58436897,51.57754876
E01000312,E00001498,-0.254539319,-0.246289911,51.58436358,51.57962142
E01000313,E00001497,-0.246257965,-0.233960714,51.58382693,51.57769755
E01000314,E00001495,-0.233395474,-0.22511711,51.58543418,51.57866084
E01000315,E00001548,-0.171382946,-0.157257484,51.61159969,51.60337939
E01000316,E00001541,-0.180803401,-0.168668314,51.60846283,51.60006062
E01000317,E00001554,-0.184260963,-0.175236784,51.61060123,51.6047395
E01000318,E00001550,-0.178566387,-0.167488668,51.61501871,51.60742931
E01000319,E00001542,-0.182934665,-0.174501454,51.60550224,51.59922692
E01000320,E00001573,-0.177584593,-0.164690499,51.6222236,51.61715803
E01000321,E00001571,-0.180493903,-0.17373701,51.62391011,51.61635036
E01000322,E00001543,-0.176808288,-0.165049395,51.61922655,51.61411242
E01000323,E00001540,-0.177332687,-0.169605904,51.6175894,51.61010459
E01000324,E00001545,-0.169100791,-0.160410823,51.61812051,51.61065975
E01000325,E00001592,0.158333031,0.172734028,51.46505142,51.45884617
E01000326,E00001604,0.166432296,0.182275086,51.46453878,51.46006528
E01000327,E00001602,0.14720685,0.161261961,51.46506397,51.46000292
E01000328,E00001595,0.157077197,0.177812309,51.46211822,51.45271408
E01000329,E00001594,0.151880667,0.162439282,51.45911484,51.44951584
E01000330,E00001612,0.146620817,0.161071692,51.46186806,51.45559744
E01000331,E00001591,0.15615113,0.168795195,51.45619583,51.44426945
E01000332,E00001625,0.146144262,0.157686398,51.48910119,51.48091888
E01000333,E00001629,0.140329528,0.152330239,51.48528225,51.47900512
E01000334,E00001626,0.134802403,0.143910854,51.48783642,51.47923766
E01000335,E00001632,0.148808101,0.165659399,51.50925383,51.48876214
E01000336,E00001636,0.138662844,0.151973717,51.49221216,51.48699784
E01000337,E00001628,0.136914727,0.145931651,51.49101033,51.48511354
